DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_METRICS,def,NULL,16757310,NULL,NULL,1830,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_DELETED,def,NULL,9436608,NULL,NULL,9,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMP,def,NULL,13106400,NULL,NULL,25,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,THREAD_POOL_WAITS,def,NULL,15203424,NULL,NULL,58,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMP_RESET,def,NULL,13106400,NULL,NULL,25,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,THREAD_POOL_QUEUES,def,NULL,15727680,NULL,NULL,30,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,TABLE_STATISTICS,def,NULL,16733589,NULL,NULL,1181,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_FIELDS,def,NULL,16614724,NULL,NULL,206,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_BUFFER_PAGE_LRU,def,NULL,16770008,NULL,NULL,3559,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_LOCKS,def,NULL,16767754,NULL,NULL,30994,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_INDEX_TABLE,def,NULL,16743844,NULL,NULL,1054,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMPMEM,def,NULL,15203424,NULL,NULL,29,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,THREAD_POOL_GROUPS,def,NULL,14154912,NULL,NULL,27,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMP_PER_INDEX_RESET,def,NULL,16555200,NULL,NULL,600,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_FOREIGN_COLS,def,NULL,16706736,NULL,NULL,972,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_INDEX_CACHE,def,NULL,16743844,NULL,NULL,1054,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_BUFFER_POOL_STATS,def,NULL,16269975,NULL,NULL,225,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_BEING_DELETED,def,NULL,9436608,NULL,NULL,9,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_FOREIGN,def,NULL,16698312,NULL,NULL,1752,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
