meta_id,post_id,meta_key,meta_value
63,25,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:485;s:4:""file"";s:19:""2025/04/course2.jpg"";s:8:""filesize"";i:58956;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""course2-300x227.jpg"";s:5:""width"";i:300;s:6:""height"";i:227;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:24558;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""course2-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:9635;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
64,26,_wp_attached_file,2025/04/about5.jpg
65,26,pagelayer_image_md5,fbe090793503733c1c2e93ef56db2725
66,26,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:427;s:4:""file"";s:18:""2025/04/about5.jpg"";s:8:""filesize"";i:43081;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about5-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:17825;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about5-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7856;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
67,27,_wp_attached_file,2025/04/banner1.jpg
68,27,pagelayer_image_md5,9a8a45c1375a3298ab84fb290a13f1fb
69,27,_wp_attachment_metadata,"a:6:{s:5:""width"";i:1000;s:6:""height"";i:667;s:4:""file"";s:19:""2025/04/banner1.jpg"";s:8:""filesize"";i:60080;s:5:""sizes"";a:3:{s:6:""medium"";a:5:{s:4:""file"";s:19:""banner1-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16311;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""banner1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7718;}s:12:""medium_large"";a:5:{s:4:""file"";s:19:""banner1-768x512.jpg"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:64198;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
70,28,_wp_attached_file,2025/04/teacher4.jpg
71,28,pagelayer_image_md5,e9b2dfe0026de3050abd5e64d6934ff0
72,28,_wp_attachment_metadata,"a:6:{s:5:""width"";i:300;s:6:""height"";i:300;s:4:""file"";s:20:""2025/04/teacher4.jpg"";s:8:""filesize"";i:7818;s:5:""sizes"";a:1:{s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""teacher4-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:4235;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
73,29,_wp_attached_file,2025/04/branch2.jpg
74,29,pagelayer_image_md5,853c3be51e34116a1501a4a1f50d26d7
